/home/alpen/.zshrc:source:39: no such file or directory: /home/alpen/.zsh/local_commands
/home/alpen/.zshrc:45: command not found: kubectl
➜  just-some-netapps git:(main) go run .
2024/02/29 22:10:19 server started on port 6969
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
2024/02/29 22:10:19 connections: map[net.Conn]struct {}{}
